frame_num,person_id,bb_xmin,bb_ymin,bb_height,bb_width,age_min,age_max,age_actual,gender
2,0,149,154,15,15,,,13.0,M
3,0,148,154,15,15,,,18.0,M
4,0,147,156,17,17,,,19.0,M
7,0,146,157,17,17,,,19.0,M
8,0,146,156,16,16,,,18.0,M
9,0,145,158,17,17,,,7.0,M
10,0,147,157,15,15,,,17.0,M
11,0,147,159,17,17,,,28.0,M
12,0,146,161,18,18,,,21.0,M
13,0,147,162,18,18,,,25.0,M
15,0,149,162,16,16,,,28.0,M
18,0,151,166,14,14,,,17.0,M
19,0,151,169,16,16,,,20.0,M
20,0,152,171,17,17,,,20.0,M
21,0,153,171,15,15,,,17.0,M
22,0,154,172,16,16,,,19.0,M
26,0,156,176,17,17,,,17.0,M
28,0,155,178,19,19,,,18.0,M
29,0,156,179,18,18,,,17.0,M
30,0,156,181,20,20,,,27.0,M
31,0,155,183,20,20,,,28.0,M
32,0,157,181,17,17,,,17.0,F
33,0,156,183,17,17,,,17.0,M
34,0,156,185,18,18,,,18.0,M
35,0,155,188,18,18,,,7.0,M
36,0,154,190,18,18,,,12.0,M
37,0,153,193,20,20,,,19.0,M
38,0,153,193,18,18,,,17.0,M
39,0,152,195,18,18,,,18.0,M
40,0,151,197,19,19,,,27.0,M
41,0,149,199,20,20,,,28.0,M
42,0,148,199,19,19,,,18.0,M
43,0,148,200,19,19,,,12.0,M
44,0,149,201,19,19,,,20.0,M
45,0,148,202,19,19,,,19.0,M
46,0,148,203,19,19,,,17.0,M
47,0,150,203,17,17,,,17.0,M
48,0,149,205,18,18,,,18.0,F
49,0,150,208,19,19,,,16.0,M
50,0,150,210,20,20,,,19.0,M
51,0,150,213,22,22,,,9.0,M
52,0,152,215,20,20,,,18.0,M
53,0,151,217,23,23,,,18.0,M
54,0,152,221,22,22,,,14.0,M
55,0,154,222,21,21,,,10.0,M
56,0,154,224,21,21,,,17.0,M
57,0,153,226,24,24,,,18.0,M
58,0,156,228,22,22,,,13.0,M
59,0,156,229,22,22,,,15.0,M
60,0,157,229,21,21,,,7.0,M
61,0,158,230,21,21,,,12.0,M
62,0,157,231,21,21,,,10.0,F
63,0,158,232,22,22,,,18.0,M
64,0,158,234,22,22,,,13.0,M
65,0,157,237,24,24,,,6.0,M
66,0,156,239,25,25,,,9.0,M
67,0,157,240,22,22,,,11.0,F
68,0,157,242,21,21,,,6.0,M
69,0,156,245,22,22,,,7.0,F
70,0,156,248,22,22,,,19.0,M
77,0,150,269,23,23,,,7.0,M
84,0,148,282,24,24,,,9.0,F
101,0,156,321,26,26,,,12.0,M
102,0,153,325,28,28,,,8.0,M
103,0,152,328,29,29,,,6.0,M
104,0,151,330,28,28,,,6.0,M
105,0,149,333,28,28,,,6.0,M
106,0,151,336,26,26,,,26.0,M
107,0,150,338,26,26,,,10.0,M
108,0,149,342,26,26,,,24.0,M
109,0,149,346,26,26,,,28.0,M
110,0,146,350,26,26,,,14.0,M
112,0,142,357,26,26,,,15.0,M
113,0,138,363,29,29,,,12.0,M
114,0,137,364,27,27,,,14.0,M
