frame_num,person_id,bb_xmin,bb_ymin,bb_height,bb_width,age_min,age_max,age_actual,gender
0,0,191,55,34,34,,,39.0,F
2,0,313,104,31,31,,,34.0,F
4,0,595,75,38,38,,,15.0,F
5,0,595,75,38,38,,,15.0,F
8,0,344,331,35,35,,,63.0,M
15,0,440,206,41,41,,,10.0,M
16,0,410,217,41,41,,,13.0,M
17,0,410,217,41,41,,,13.0,M
18,0,376,229,43,43,,,11.0,M
19,0,331,230,44,44,,,8.0,M
19,1,463,56,38,38,,,7.0,F
19,2,318,93,36,36,,,35.0,F
20,0,276,248,45,45,,,22.0,M
20,1,315,100,38,38,,,39.0,F
20,2,501,57,40,40,,,33.0,F
21,0,550,57,35,35,,,33.0,F
21,1,308,105,42,42,,,39.0,F
21,2,212,248,48,48,,,20.0,M
22,0,597,53,37,37,,,30.0,F
23,0,597,53,37,37,,,30.0,F
25,0,515,337,51,51,,,8.0,M
26,0,698,56,35,35,,,36.0,F
27,0,725,58,37,37,,,36.0,F
30,0,485,263,34,34,,,28.0,M
30,1,509,238,45,45,,,29.0,F
31,0,261,414,74,74,,,4.0,M
31,1,483,264,30,30,,,31.0,M
33,0,373,136,41,41,,,39.0,F
34,0,360,141,43,43,,,25.0,F
34,1,437,160,75,75,,,30.0,F
35,0,361,140,44,44,,,27.0,F
35,1,437,160,75,75,,,30.0,F
36,0,337,144,43,43,,,35.0,F
36,1,283,486,90,90,,,19.0,M
37,0,414,300,38,38,,,28.0,M
37,1,511,410,48,48,,,12.0,M
38,0,274,148,44,44,,,29.0,F
39,0,258,156,40,40,,,39.0,F
40,0,246,169,41,41,,,36.0,F
40,1,319,313,35,35,,,18.0,M
41,0,246,169,41,41,,,36.0,F
41,1,319,313,35,35,,,18.0,M
42,0,235,177,42,42,,,16.0,M
42,1,303,321,36,36,,,9.0,M
43,0,284,327,36,36,,,28.0,M
43,1,0,461,75,65,,,29.0,F
43,2,212,182,41,41,,,22.0,M
43,3,273,535,47,47,,,52.0,F
44,0,40,465,67,67,,,28.0,F
44,1,173,187,44,44,,,28.0,F
44,2,262,335,35,35,,,22.0,M
45,0,59,476,75,75,,,28.0,F
45,1,136,190,46,46,,,14.0,F
45,2,235,337,35,35,,,28.0,M
45,3,131,395,43,43,,,35.0,F
46,0,114,189,46,46,,,28.0,F
46,1,45,494,72,72,,,28.0,F
46,2,219,344,42,42,,,19.0,M
47,0,114,189,46,46,,,28.0,F
47,1,45,494,72,72,,,28.0,F
47,2,219,344,42,42,,,19.0,M
48,0,103,199,48,48,,,28.0,F
48,1,5,509,73,73,,,28.0,F
48,2,222,356,40,40,,,26.0,M
